CountryEnglish,ISO3v10,ContinentName,Continent,CountryCode,CountryCodeLong,UNRegion,ISO2,UNSDCode,Resolution,PopulationPerUnit,Area,LevelUsed,Level1Type,Level2Type,Level3Type,Level4Type,Level5Type,NumUnits,RefYearFirst,RefYearLast,P90E ('000),P95E ('000),P00E  ('000),UN_P90 ('000),UN_P95 ('000),UN_P00 ('000),UN_P05 ('000),UN_P10 ('000),UN_P15 ('000),Diff90,Diff95,Diff00,Source Data: Boundaries,Source Data: Population,Edits and Notes: Spatial,Edits and Notes: Population,Internal Spatial Notes,Internal Population Notes,Num Settlement Points,Largest Point (pop),Smallest Point (pop),Mean Point (pop),Urban Criteria (UN),Num Urban Extents,Largest Extent (sq.km),Smallest Extent (sq.km),Mean Extent (sq.km),Sum-All Urban Extents (sq.km),Largest Extent (pop),Smallest Extent (pop),Mean Extent (pop),Sum-All Urban Extents (pop),Pct Total Land Area in Urban Extents (sq.km),"Pct Total Population in Urban Extents (2000,NSO est.)","Pct Total Population that is urban (2000,UN)",Num UE's from Nighttime Lights ,Num UE's from Regressions,Num UE's from DCW ,Num UE's from other sources,Settlement Point Population Source,Settlement Point Coordinate Source,,,,,,,
American Samoa,ASM,Oceania,6,24,2405,Polynesia,AS,16,6,11,198,1,District/Island,County,,,,5,1990,2000,47,52,57, 47 , 57 , 68 , 79 , 91 , 104 ,0.90,9.22,15.30,"US Census Bureau, http://www.census.gov/geo/www/cob/co2000.html .","American Samoa, Department of Commerce, Statistics Division, http://www.amsamoa.com/statistics.htm .",,A population growth rate was calculated between 1990 and 2000 for extrapolation to target years.,Made no edits to coastline as it was verified that it is superior to DCW,We may have better spatial and pop data (14 units) but they need processing.,15,"7,268","1,413","3,414.73","Places with 2,500 inhabitants or more and urbanized areas.",1,121,121,121.40,121,"49,976","49,976","49,976","49,976",61.24,86.5,53.2,1,0,0,0,"1990 US Census, http://www.census.gov/geo/www/gazetteer/gazette.ht","1990 US Census, USDI Map",,,,,,,
Antigua and Barbuda,ATG,North America,2,31,3105,Caribbean,AG,28,15,32,444,1,Islands,,,,,2,,,63,64,65, 63 , 64 , 65 , 66 , 67 , 68 ,0.00,0.00,0.00,Centro Internacional de Agricultural Tropical (CIAT).,"United Nations. ""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001. The values given are population estimates.",,,,Used UN figures until CIAT checks on population data (distributed proportionately),12,"27,761","1,002","4,133.10",Saint John's (capital city).,1,272,272,272.25,272,"70,630","70,630","70,630","70,630",61.34,92.3,37.1,1,0,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de","NIMA, World Gazetteer",,,,,,,
Australia,AUS,Oceania,6,42,4205,Australia and New Zealand,AU,36,76,14,7634648,4,State,Statistical Divisions,Statistical Subdivisions,Statistical Local Area (SLA),,1329,1996,2001,"16,643","17,660","18,724"," 16,888 "," 18,072 "," 19,138 "," 20,110 "," 21,029 "," 21,910 ",1.45,2.28,2.16,"ESRI Australia, http://www.esriau.com.au/ .","1996 census data  for Statistical Local Area (SLA) population obtained from ESRI Australia, http://www.esriau.com.au/
State Level Population data from the Australian Bureau of Statistics:
* 2001 population from 2001 Census Basic Community Profiles and Snapshots,  http://www.abs.gov.au/ausstats/abs@census.nsf/Census_BCP_ASGC_ViewTemplate?ReadForm&Expand=1 
* 1996 population from 1996 Census of Population and Housing - Basic Community Profiles,  http://www.abs.gov.au/Web sitedbs/d3310108.nsf/f9996d24c8f22d024a256500001c8576/569af0d15c2201964a2565010007a32f!OpenDocument",,"1990 and 1995 population values based on SLA figures for 1996 and population for Statistical Subdivisions for 1991 obtained from the Australian Bureau of Statistics, www.abs.gov.au .
The State level growth rate, between census years 1996-2001, are calculated and applied to the 1995 SLA estimated population to extrapolate to target years.",Boundary data is from GPW2,"PROD FIX: fixed the 2001 pop, used figures that did not include the visitor population --DONE Jan 2005 lisa",224,"4,098,479","1,272","80,935.54","One or more census divisions with urban characteristics and representing a cluster of 1,000 people or more as well as known holiday re_sorts of less population if they contain 250 dwell_ings or more of which at least 100 were occupied on census night.",157,"3,137",3,234.62,"36,836","3,047,077","1,145","93,462","14,673,509",0.48,77.0,91.2,190,4,1,0,"Australian Demographic Statistics 2003, UN Statistical Library, hard copy; City Population, www.citypopulation.de;World Gazetteer, www.gazetteer.de","Map, NIMA, World Gazetteer",,,,,,,
Austria,AUT,Europe,5,44,4405,Western Europe,AT,40,29,81,83145,2,State,Lander,,,,99,1991,2001,"7,773","7,888","8,008"," 7,729 "," 8,047 "," 8,080 "," 8,042 "," 7,953 "," 7,848 ",-0.57,1.98,0.89,Seamless Administrative Boundaries of Europe (SABE) distributed by MEGRIN: http://www.megrin.org/megrin.html; MEGRIN is now Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE v1995.2 date of release: 31 Mar 1998).,"Statistical Yearbook of Austria 2003, Table 2.05. Statistik Austria, http://www.statistik.at/jahrbuch/pdfe/k02.pdf and
http://www.statistik.at/fachbereich_03/bevoelkerung_tab1.shtml .
",,The population of two districts in Burgenland have been assigned as follows: Breitenbrunn has been assigned to Eisenstadt-Umgebung and Oberpullendorf has been assigned to Oberwart,"B.A.: The following two lander (commune) in Burgenland have different commune names in GPW2 from 2001 pop data source. By process of elimination these two areas matched, although I could not determined whether these may have been name changes or typos (in either GPW2 or the pop data sheets--although the latter is highly unlikely).  Thus, two districts in Burgenland have been assigned as follows: Breitenbrunn has been assigned to Eisenstadt-Umgebung and Oberpullendorf has been assigned to Oberwart","(1)  mbrickma: 8.5.03: Double checked pop figures for Austria and everything sums up perfectly in 1991 and 2001 within the shapefile.  However WIEN may need to be added back into the original Excel sheet-- was missing.   1991: 1,539,848  2001: 1,550,123.   ",289,"1,549,092","2,011","16,336.17","Communes (Gemeinden) with 2,000 inhabitants or more in which less than 15 per cent of the active population is engaged in agricultural or forestry work.",85,"1,584",3,126.33,"10,738","2,140,386","4,283","62,225","5,289,123",13.01,65.3,67.4,113,26,1,0,"Austria Census 2001, Statistik Austria, http://wwwold.statistik.gv.at/cgi-bin/db2www/blick; City Population, www.citypopulation.de;World Gazetteer, www.gazetteer.de","Getty, Times Atlas of the World, 1999, NIMA, World Gazetteer",,,,,,,
Azerbaijan,AZE,Asia,4,46,4605,Western Asia,AZ,31,34,108,85355,1,Rayon,,,,,74,,1990,"7,119","7,536","7,978"," 7,175 "," 7,685 "," 8,041 "," 8,282 "," 8,498 "," 8,725 ",0.79,1.94,0.79,"Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN), http://www.asian.gu.edu.au/ .","Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN), http://www.asian.gu.edu.au/ .",,"Population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",,"ALPHA/BETA NOTES: Projected using GPW2 population figures from 1990 by applying UN growth rates for the periods of 1990-2000, 2000-2010, and 2010-2020; Last data of original GPW2 pop data is 1989 PROD NOTES: For prod we used the input data for GPW2 to project using UN rates.",29,"1,807,300","19,792","116,108.62","Cities and urban-type localities, officially designated as such, usually according to the criteria of number of inhabitants and predominance of agricultural or non-agricultural workers and their families.",41,"1,576",11,177.57,"7,280","1,513,686","5,246","83,426","3,420,454",8.55,42.0,51.8,73,1,1,0,"ASCities; Statistical Yearbook Azerbaijan 2001, Statistical Yearbook Azerbaijan 2001;World Gazetteer, www.gazetteer.de","ASCities, NIMA, World Gazetteer",,,,,,,
Burundi,BDI,Africa,1,104,10405,Eastern Africa,BI,108,15,58,25227,2,Province,Commune,,,,114,1990,1999,"5,356","5,937","6,624"," 5,636 "," 6,079 "," 6,356 "," 7,385 "," 8,662 "," 9,835 ",4.96,2.34,-4.22,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","1999 - ISTEEBU, Bujumbura, Burundi: http://www.burundi-contacts.com/pays .",,"9 population units were consolidated to match to the shapefile single unit: Nyabigina (Buj) /Bujumbura.  These are: Buyenzi (36,782), Bwiza (35425), Cibitoke (47,061), Kamenge (55,653), Kinama (33,858), Musaga (39,337), Ngagara (19762), Nyakabiga (21,229), and Rohero (29,991).    ",Map on ISTEEBU was used to help figure out 9 unit aggregation,"The total population for the 9 summed units is 319,098 (1999) This compares with past totals for Nyabigina (Buj) of 226,628 (1990) and 257,309 (1995E).",15,"354,674","4,574","45,929.20",Commune of Bujumbura.,15,137,15,37.10,557,"317,571","5,354","42,112","631,686",2.22,9.7,9.3,1,14,0,0,"AFCities, Data provided by Uwe Deichman at the World Bank; World Gazetteer, www.gazetteer.de","AFCities, World Gazetteer",,,,,,,
Belgium,BEL,Europe,5,60,6005,Western Europe,BE,56,7,17,30553,3,Province,Arrondisement,Commune,,,589,1991,2002,"9,953","10,089","10,243"," 9,967 "," 10,137 "," 10,249 "," 10,297 "," 10,296 "," 10,272 ",0.15,0.47,0.06,Seamless Administrative Boundaries of Europe (SABE) distributed by Eurographics: http://www.eurogeographics.org/eng/03_projects_sabe.asps (SABE 2001 date of release : February 2003).,"2002 population data downloaded from Statistics Begium, Table: ""Population de droit par commune au 1 janvier 2002"" at http://www.statbel.fgov.be/downloads/pop2002com.xls .  
1995 population is an estimate based on the 1981 and 1991 population data from Institut Nacional de Statistique, Recensement de la Population et des Logements au 1er mars 1991, Tome 1B, Chiffres de la Population, Bruxelles, 1992.",,"The 5% growth rate cap applied to the following Communes: Maaseik (in Maaseik, Limburg), Knokke-Heist, and Jabbeke (in Brugge, Wes-Vlanderen) when projecting to target years.",,ALPHA AND BETA NOTES: A population growth rate was calculated between 1995 and 2000 to extrapolate to target years; PROD NOTES: extrapolation changed-- now 1991-2002 used for rate…rate cap for projections from 2005 to 2020.,574,"970,683","1,007","19,266.00","Cities, urban agglomerations and urban communes.",46,"10,245",6,270.04,"12,422","7,395,710","5,219","184,935","8,507,001",40.70,82.6,97.4,48,38,1,0,"City Population, www.citypopulation.de; StatsBelgium, statbel.fgov.be;World Gazetteer, www.gazetteer.de","NIMA, World Gazetteer",,,,,,,
Benin,BEN,Africa,1,63,6305,Western Africa,BJ,204,39,80,115828,2,Province,District,,,,78, ,1992,"4,608","5,437","6,209"," 4,655 "," 5,492 "," 6,272 "," 7,216 "," 8,278 "," 9,448 ",1.00,1.00,1.00,"UNEP/GRID-WRI-NCGIA Africa Population Database, http://grid2.cr.usgs.gov .","Institut National de la Staistique et de L'analyse Economique, Bureau Central du Recensement, Republique du Benin February 1992. Deuxieme Recensement General de la Population et de L'Habitation du Benin. Available at: http://www.afrikinfo.com/lois/gouvern .","The Athieme District (administrative 2 level , in the Mono Province (administrative 1 level), was split to form Athieme District and Lokossa District.  The division was based on a map found at: http://www.uni-hohenheim.de/~atlas308/c_benin/projects/c1_1/html/english/bframe_en_c1_1b.htm . Population was estimated for the two newly created units based on their relative distributions in 1992.","Population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",Athieme District in Mono Province was split to form Athieme District and Lokossa District based on map found at http://www.uni-hohenheim.de/~atlas308/c_benin/projects/c1_1/html/english/bframe_en_c1_1b.htm (hard copy in file). Population in P90e and P95 was estimated for the two newly created units based on their distribution in P92 (adminid's 204040250 and 204040200,"We also had a hard copy of the provisional results, but the numbers differed from the final results: Institut National de la Staistique et de L'analyse Economique, Bureau Central du Recensement, Republique du Benin Octobre 1992. Deuxieme Recensement General de la Population et de L'Habitation du Benin: Resultats Provisoires; Because of a substantial number of minor spelling differences between the GPW v2 database for Benin and the census results, I chose to cut and paste the v2 names into the template, and then match names manually from the 1992 census (from the website above into the template_working spreadsheet). Note there were problems with 2 districts: In Atakora Province Djougou Urban and Djougou Rural were not provided by the 1992 census; in Mono Province, a new district of Lokossa was listed in the 1992 census. The total pop figure is also 8000 more than the total posted on the website. Mono Province, including Lokossa, was 8000 greater than the Province total posted on the website, which means that the country. To resolove the Djougou Urban/Rural problem, I looked at the trend line in urban population growth over the past 40 years (based on GPW2), and determined roughly 60% of the Djougou's total pop would be urban. A map depicting Lokossa sous-prefecture was found at http://www.uni-hohenheim.de/~atlas308/c_benin/projects/c1_1/html/english/bframe_en_c1_1b.htm. The Sous-Prefecture of Athieme was accordingly split in 2 and Lokossa was added. After the above problems were resolved, the attribute data matched the shapefile table perfectly. Additional variables: A male-female breakdown is available. The online version has age breakdown at the provincial level. The online version has several other pop characteristics (religion, ethnicity, fertility, etc.) at the national level. A national pop. projection is provided for 2000: 6,411,000. (Alex deSherbinin)
P92 dissolve pop totals to: 4,923,553.  From the US Census Bureau's IDB: 1990: 4,661,949; 1992: 4,975,773; 1995: 5,484,002; 2000: 6,428,396; The growth rates from 1990-1992 look way too high (probably due to the 1990 estimate from WALTPS).  Because of this, I am projecting using UN growth rates [1990-1995 and 1995-2000] to obtain 1990, 1995, and 2000 estimates for Benin. For extended projections, see rates in pink below  (MBrickman).",38,"578,075","1,583","45,601.39","Localities with 10,000 inhabitants or more.",36,195,15,41.45,"1,492","1,103,313","5,221","72,388","2,605,966",1.29,36.2,43.0,9,29,0,0,"AFCities, Data provided by Uwe Deichman at the World Bank; City Population, http://www.citypopulation.de","AFCities, Columbia Gazetteer, NIMA, Times Atlas of the World, 1",,,,,,,
Burkina Faso,BFA,Africa,1,96,9605,Western Africa,BF,854,28,33,275747,2,Province,Department,,,,353,1985,1996,"8,654","9,987","11,576"," 9,008 "," 10,270 "," 11,535 "," 13,405 "," 15,764 "," 18,509 ",3.93,2.76,-0.35,"Module de Consultation des Donnees de la Base de Donnees sur les Localites de Burkina (MConBDLB) (Version 2.0, Janvier 2001), a CD produced by the Programme National de Gestion des Terroirs.","Module de Consultation des Donnees de la Base de Donnees sur les Localites de Burkina (MConBDLB) Version 2.0, Janvier 2001 (Module for the Consulation of the Burkina Faso localities database, Version 2.0, January 2001). Produced by the Programme National de Gestion des Terroirs (National Land Management Program). Available on CD-ROM.",The spatial boundaries were aggregated from 353 to 20 units for the calculation of a 1990-1996 population growth rate.,"A population growth rate between 1990 and 1996 was calculated via an aggregation of the spatial and population data to 20 units.  This growth rate was applied to the departments (administrative level 2) in order to extrapolate to the target years of 1990, 1995, and 2000.",Matched to DCW by manual extension and clip. BFA boundaries were in an uknown projection; the data were rectified to match GPW2 boundaries (the new data have more units and match extactly the new population data). All processing done by GY.,"Pop cd rom should have been archived; For some reason, when I summed P90E, P95E, and P00E, I got different national figures than whoever did the work before me.  I am not quite sure why this happened.  There was no 'rate9096' in the table, but when I recalculated P95E and P00E I noticed that I got the same numbers as were there before. What happened is that the pop data was not dissolved before it was totaled.  I have since changed this by dissolving on ADMINID... Otherwise, it looks good to me. --MBrickman",205,"843,454","6,369","26,895.07",Fourteen towns.,118,369,17,31.86,"3,759","486,139","5,504","23,034","2,718,016",1.37,24.1,16.9,8,112,0,0,"BKFPopts-UDeichman, UweDeichman-WorldBank; City Population, http://www.citypopulation.de;World Gazetteer, www.gazetteer.de","BKPopts-UDeichman, NIMA, World Gazetteer",,,,,,,
Bangladesh,BGD,Asia,4,52,5205,South-central Asia,BD,50,17,251,136305,3,Division,Zila,Thana,,,486,1991,2001,"104,013","112,476","121,798"," 110,025 "," 123,612 "," 137,439 "," 152,552 "," 167,926 "," 183,159 ",5.46,9.01,11.38,"UNEP/GRID-WRI-NCGIA Asia Population Database: http://grid2.cr.usgs.gov .
The original database was produced by the National Statistical Office of Bangladesh in collaboration with the UNSD/POPMAP Project. ","2001 census, Population Census 2001 Preliminary Report, http://www.bbsgov.org/ .
Bangladesh Central Statistical Office, Census of 1991, digital data obtained from the UNSD/POPMAP Project..","The original data were compiled in POPMAP which at that time did not support true geo-referencing. Source map scale and projection were unknown. The data were first transformed into Transverse Mercator Projection (which resulted in the lowest error among several possible projections evaluated) and then projected into lat/long (ie, geographic) coordinates. Rubbersheeting was then performed on the resulting coverage to improve the match with the country and coastal outline from the Digital Chart of the World (DCW). Thus, the coverage is suitable for regional and continental scale applications as well as for visualization of spatial pattern using census data. It should not be used for high resolution applications at the sub-national level.","The 2001 Census data assigned four Zila units (Hobiganh, Moulavibazar, Sylhet, and Sunamganj) to the new Sylhet Division.  These units split from the Chittagong Divison.
Population data were extrapolated to target years of 1990, 1995 and 2000 using Zila (administrative level 2) inter-censal growth rates applied to the 1991 Thana (administrative level 3) population data.",,"GPW2 had data through adm3, but the adm3 data was not yet available for the 2001 census. Therefore, we dissolved the GPW2 boundaries to adm2 and added the new sylhet division. Growth rate between 1990 and 2001 at the Zila level were applied to the Thanas.  ",157,"5,397,959","9,523","115,025.59","Places having a municipality (Pourashava), a town committee (Shahar commit_tee) or a cantonment board. In general, urban areas are a concentration of at least 5,000 persons in con_tinuous collection of houses where the community sense is well developed and the community main_tains public utilities, such as, roads, street lighting, water supply, sanitary arrangements etc. These places are generally centres of trade and com_merce where the labour force is mostly non_agricultural and literacy levels are high. An area that has urban characteristics but has fewer than 5,000 inhabitants may, in special cases, be consid_ered urban.",187,"1,380",1,59.61,"11,146","9,039,533","1,143","140,251","26,226,927",8.40,20.3,25.6,176,53,6,0,"Bangladesh Population Census 1991, Vol. 3: Urban Area Report, www.bbsgov.org/; Bangladesh Population Census 2001 Preliminary Report, Census Bureau; City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de","ASCities, Getty, NIMA, Times Atlas of the World, 1999, UNSD, World Gazetteer",,,,,,,
Bulgaria,BGR,Europe,5,94,9405,Eastern Europe,BG,100,21,30,111307,2,District (Oblast),Municipality,,,,261,1995,2001,"9,008","8,444","7,920"," 8,718 "," 8,406 "," 7,949 "," 7,570 "," 7,185 "," 6,816 ",-3.32,-0.45,0.37,"Second Administrative Level Boundaries (SALB), United Nations, http://www3.who.int/whosis/gis/salb/salb_home.htm .","Census 2001. Republic of Bulgaria. National Institute of Statistics, downloaded from: http://www.nsi.bg/Census_e/Census_e.htm .  
1995 District (administrative level 1) data from Statistical Yearbook. Republic of Bulgaria. National Institute of Statistics.","In January 1999, Bulgaria changed its number of districts from 9 to 21 districts.  By comparing pre-1999 and post-1999 districts maps, it is assumed that the municiplaity of Topolovgrad (2001 pop of 15179) now in the district of Haskovo was part of the district of Bourgas in 1995.",The District (administrative level 1) population growth rate between 1995 and 2001 was applied to the 2001 Municipality (administrative level 2) population data.,Error in adminid -- two duplicates (fixed) -GY 3/04,,41,"1,098,433","24,965","101,323.20","Towns, that is, localities legally es_tablished as urban.",44,"1,168",3,152.22,"6,698","1,066,752","1,531","93,132","4,097,791",6.05,51.2,67.4,100,0,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",World Gazetteer,,,,,,,
Bahrain,BHR,Asia,4,50,5005,Western Asia,BH,48,8,0,623,1,Municipality,,,,,11,1991,2001,493,554,627, 490 , 573 , 640 , 696 , 744 , 793 ,-0.70,3.19,2.05,"ESRI Level 1, Digital Chart of the World (DCW), NASA JPL global MODIS mosaic http://wmt.jpl.nasa.gov/.","State of Bahrain Central Statistics Organization, Basic Results—Population, Housing, Buildings & Establishments Census, 2001 population by region, http://www.bahrain.gov.bh/census/popu_e.html .
State of Bahrain Central Statistics Organization, Bahrain in Figures 1996, Census Population by Region 1991, http://www.bahrain.gov.bh/english/RunIndex.asp?count=21 .",ESRI Level 1 boundary data was clipped to Digital Chart of the World to improve the coastline. Missing unit Al Hadd was added by digitizing infilled areas from a section of the global MODIS mosaic from 2000.,,"ALPHA: Source--GPW2 but used LandScan for internal boundaries? Lisa 10/1/2003 BETA: Note: qatar overlap stored in shapefile bhr_qat_overlap.shp; Cntry Bndry matched to DCW, intern. bndries taken from new data. Removed overlapping area with Qatar -GY PROD: Source was ESRI level one data, not Landscan. Unit added from MODIS mosaic was heads-up digitized, and is not suitable for precise work. -GY",There was a missing spatial unit in alpha and beta in which case the pop was missing too-- this has been fixed for prod (MB),7,"133,523","10,840","53,575.00","Communes or villages with 2,500 inhabitants or more.",3,519,18,187.66,563,"521,858","2,990","206,722","620,165",88.26,92.3,92.5,4,0,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",NIMA,,,,,,,
Bahamas,BHS,North America,2,48,4805,Caribbean,BS,44,28,18,13162,1,Island/ Supervisory District,,,,,17,1990,2000,255,280,304, 255 , 283 , 304 , 324 , 341 , 359 ,0.05,0.97,0.19,,"The Official Site of the The Commonwealth of the Bahamas.  Total Population by Sex and by Island and Number of Households 2000 Census, http://www.bahamas.gov.bs/BahamasWeb/aboutbahamas.nsf/Subjects/General+Statistics .","· Spanish Wells Is and Harbor are merged with Eleutera.
· Rum Cay is merged with Long Island.",,The GPW2 site has no information on the source of the spatial data.  Maybe DCW?  -Lisa6July04,"Used P90E and P00 to calculate growth rates to extrapolate. Pop for Anguila Isles estimated using growth rates from P90 and P95 (zero!)
 The P90E and P95E is from GPW2.  This is the info from the GPW2 page: 
Population figures (without date) from http://www.bahamasnet.com
Total pop for 90 and 95 was distributed proportionately to the Pop figures for the islands based on these figures.
",12,"210,832","1,128","23,191.42",Not available.,4,226,7,111.25,445,"194,322","5,813","58,744","234,978",3.52,78.0,88.9,10,2,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de","Map, World Gazetteer",,,,,,,
Bosnia-Herzegovina,BIH,Europe,5,71,7105,Southern Europe,BA,70,131,1301,51295,1,District,,,,,3,1991,2001,"4,434","4,158","3,902"," 4,308 "," 3,420 "," 3,977 "," 4,209 "," 4,269 "," 4,279 ",-2.92,-21.56,1.89,"National boundary data from Digital Chart of the World (DCW).  
Internal boundary created from nationla boundary by digitizing administrative boundaries based on a map downloaded from Government of Federation of Bosnia and Herzegovina: http://www.fbihvlada.gov.ba/engleski/ .",1991 and  2001 population data downloaded from City Population: http://www.citypopulation.de/Bosna.html .,,A population growth rate was calculated between 1991 and 2001 to extrapolate to target years.,,Used rate between 1991 and 2001 to project to taget years.,22,"388,812","3,518","48,327.67",Not available.,26,170,5,66.43,"1,727","381,602","5,613","44,344","1,152,932",3.38,30.0,43.4,37,5,0,0,"City Population, www.citypopulation.de","EUTOWN, NIMA, UNSD, World Gazetteer",,,,,,,
Belarus,BLR,Europe,5,58,5805,Eastern Europe,BY,112,42,84,207013,2,Oblast,Rayon,,,,119,1989,1999,"10,181","10,097","10,034"," 10,260 "," 10,329 "," 10,187 "," 9,984 "," 9,819 "," 9,664 ",0.77,2.24,1.50,Australian Centre of the Asian Spatial Information and Analysis Network (ACASIAN).,(1) 1999 Belarussian Census;  (2) The 1989 Rayon level data is from ACASIAN; the 1999 population data is from the national statistical office,,"The 1999 population do not have separate population for the cities (ad. Gors), thus to match the 1989 data with the 1999 data, the population of the ad gors are merged with the parent rayons.  ",Boundary data from GPw2,"ALPHA AND BETA NOTES: Projected using GPW2 data and the following UN rates: 1990-2000, 2000-2010, and 2010-2020 (The 1990 population estimate which is based on 1989 population was projected forward to target years using UN 10 year interval rates). PROD NOTES: This is standard interpolation.  Although the NSO pop estimates doesn't match the decreasing trend in UN, I think this is OK.  Everything looks OK with the data ; Nancy from the NSO may give us a better source citation (MB)",35,"1,688,585","23,167","162,800.63","Cities and urban-type localities, officially designated as such, usually according to criteria based on the number of inhabitants and predominance of non-agricultural workers and their families.",35,"1,147",6,222.71,"7,795","1,871,061","2,755","164,992","5,774,710",3.78,57.6,69.6,71,0,0,0,"City Population, www.citypopulation.de; Statistical Yearbook of Belarus 2000, UN Statistical Library, hard copy","NIMA, World Gazetteer",,,,,,,
Belize,BLZ,North America,2,61,6105,Central America,BZ,84,61,40,22290,1,District,,,,,6,1991,2000,185,210,240, 186 , 203 , 226 , 249 , 268 , 287 ,0.59,-3.60,-6.13,Mapa de la Regionalización de la República de Guatemala. Ministerio de Agricultura. Escala 1:750000. Copia heliográfica. Prepared by the Centro Internacional de Agricultural Tropical (CIAT).,"National Population and Housing Census 2000 and 1991 from the Central Statistical Office, Ministry of Finance.  ",,,,,9,"49,050","4,329","12,726.78",Not available.,6,127,27,88.57,531,"46,616","7,812","16,351","98,105",2.41,40.5,48.1,9,0,0,0,"Belize 2000 Census, http://www.cso.gov.bz","NIMA, World Gazetteer",,,,,,,
Bermuda,BMU,North America,2,62,6205,Northern America,BM,60,8,63,63,0,,,,,,1,1990,2000,59,61,63, 59 , 61 , 63 , 65 , 67 , 69 ,0.00,0.00,0.00,Digital Chart of the World (DCW).,"United Nations. ""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001. The values given are population estimates.",,,,Used UN estimates for all years,1,"1,752","1,752","1,752.00",Not available.,3,33,9,17.52,53,"32,974","8,667","17,415","52,244",83.11,83.1,100.0,3,0,0,0,"City Population, www.citypopulation.de",,,,,,,,
Bolivia,BOL,South America,3,68,6805,South America,BO,68,103,80,1069350,2,Departmento,Provincia,,,,100,1992,2001,"6,090","6,965","8,038"," 6,573 "," 7,414 "," 8,329 "," 9,275 "," 10,229 "," 11,218 ",7.35,6.05,3.49,Instituto Geográfico Militar. Mapa de la República de Bolivia. Escala 1:1500000. Proyección Cónica Comforme de Lambert. Prepared by the Centro Internacional de Agricultural Tropical (CIAT).,"Instituto Nacional de estadística, INE. Indicadores Socio-demográficospor Provincias. Censo de 1992. La Paz, Bolivia.  2001 population from Censo de Poblacion y Vivienda, Instituto Nacional de estadística, INE: http://www.ine.gov.bo",,"Based on Department maps from Informacion Geografica, http://www.ine.gov.bo/cgi-bin/PIWDGEOxx.EXE, the following edits were made: (1) in La Paz, population of Jose Manuel Pando was added to Pacajes; and Caranavi was added to Nor Yungas; (2) in Cochabamba, Bolivar was added to Arani; and Tiraque was added to Arque; (3) in Oruro, Tomas Baron was added to Cercado; Sud Carangas, San Pedro de Totora, and Nor Carangas were added to Carangas; Sebastian Pagador was added to Avaroa; and Puerto Mujillones was added to Atahualpa; (4) in Potosi, Enrique Baldivieso was added to Nor Lipez; and (5) In Santa Cruz, German Busch was added to Chiquito; and Guarayos was added to Nuflo de Chavez; Population figures were extrapolated to target years using a growth rate calculated between 1992 and 2001.  A 5% growth rate cap was used for select units. ",,"Alpha/beta notes: Standard projection; Post-beta notes: Standard projection, 5% rate cap applied. Total = 1992: 6420792 (Census92: 6420792);  2001:8274326 (Census01: 8274325)",95,"1,057,137","1,354","52,569.49","Localities with 2,000 inhabitants or more.",69,781,17,89.79,"6,195","1,425,578","5,022","75,003","5,175,173",0.58,62.2,62.9,42,42,0,0,"CELADE, Latin American and Caribbean Demographic Centre (CELADE) - Population Division of Economic Commission for Latin America and the Caribbean","Celade, NIMA, World Gazetteer",,,,,,,
